1,"Wohnbau GmbH",,,55555,"0228-320153 ",,,"Immobilien & Facility Management"
2,"ILME GmbH - Tagung ","Max-Planck-Str. 12",Wiehl,51674,"02261-7955-0 ",,thiedecke@ilme.de,"Immobilien & Facility Management"
3,"Watermann GmbH & Co. KG ","Kieferstraße 42 ","Dortmund ",44225,0231-77591-15,,"c.mueller@watermann-gmbh.de ","Transport & Logistik "
4,"Siemens AG ","Bunsenstraße 43 ","Erlangen ","91058 ","09131-18-83787  ",,"silvia.doser@siemens.com ","Mischkonzern "
5,"HOCHTIEF Solutions AG ","Alfredstraße 236  ",Essen,"45133 ","0201-824-8339  ",,"kirstin.forst@hochtief.de ","Baugewerbe & Architektur "
6,"Fuji Photo Film ","Heesenstraße 31 ","Düsseldorf ","40549 ","0211 5089254 ",,,"Konsumgüter & Gebrauchsgüter "
7,"COHAUSZ & FLORACK Patent- und Rechtsanwälte ","Bleichstraße 14 ",Düsseldorf,40211,"0211-90 490-0 ",,"d.fleischer@cohausz-florack.de ","Unternehmensberatung, Wirtschaftsprüfung, Recht "
8,"BITMARCK HOLDING GmbH ","Brunnenstraße 15-17 ","Essen ","45128 ","0201-89069-000  ",,"helga.niessing@bitmarck.de ","IT & Internet"
9,"NATIONAL BANK AG ","Rüttenscheider Straße 125 ","Essen ","45130 ","0201-81150 ",,"maike.roeseler@national-bank.de ",Banken
10,"Signal Iduna ","Joseph-Scherer Str. 3 ","Dortmund ",44139,"0231 13500 ",,,Versicherungen
11,expositio,"Lothringer Str, 38",Bochum,44805,"0234 4387314",,,
