8,"BITMARCK HOLDING GmbH ","Brunnenstraße 15-17 ","Essen ","45128 ","0201 89069 000  ","0201 89069 199","info@bitmarck.de ",1994
119,"KIK Textilien und Non Food GmbH","Siemensstraße 21",Bönen,59199,"02383 / 95-40","02383 / 95-4130",info@kik-textilien.de,1994
152,"ASB Informationstechnik GmbH","Buschstr. 76",Duisburg-Hamborn,"47166 ","0203 93297-0","0203 314289",asbinfo@asbinfo.de,1994
191,"Autobahn Tank und Rast GmbH","Andreas-Hermes-Str. 7-9",Bonn,53175,"0228 / 922-0","0228 / 922-4110","kundenkontakt@tank.rast.de ",1994
226,"RGM Holding","Hansastr. 95",Dortmund,44137,"+49 231 98 70 87-0","+49 231 98 70 87-282",,1994
230,"ASSA ABLOY Sicherheitstechnik GmbH","Bildstockstraße 20",Albstadt,"72458 ","07431 123-0","07431 123-2 40",info@assaabloy.de,1994
262,"Remira GmbH","Konrad-Zuse-Straße 3 ",Bochum,44801,"0234 9747170",,mate@remira.de,1994
293,"H & V Energietechnik GmbH & CoKG","Wilhelm-Raiffeisen-Str. 2a",Nordkirchen,59349,"0 25 96 / 44 77","0 25 96 / 44 86",info@hv-energietechnik.de,1994
305,"Deutsche Kinder- und Jugendstiftung gemeinnützige GmbH","Tempelhofer Ufer 11",Berlin,"10963 ","030 - 25 76 76 – 0","030 - 25 76 76 – 10",info@dkjs.de,1994
360,"Schwer Steuerberatungsgesellschaft mbH","Auf der Heide 8 a",Bochum,44803,"+49 (234) 97701-0","+49 (234) 97701-77 ","kanzlei@stb-schwer.de ",1994
380,"objective partner AG","Bergstraße 45/1 ",Weinheim,"69469 ","06201 39860","06201 398612",info@objective-partner.de,1994
435,"ista International GmbH","Grugaplatz 2",Essen,45131," 0201 459-02",," info@ista.com",1994
496,"LOGIBALL GmbH","Westring 303 ",Herne,44629,"02323 925 0","02323 925 551",info@logiball.de,1994
552,"Spiggle & Theis Medizintechnik GmbH","Burghof 14",Overath,"51491 ","02206 9081-0 ",,info@spiggle-theis.de,1994
553,"Basista Leiterplatten GmbH ","Kardinal-Hengsbach-Straße 2-4",Bottrop,"46236 ","02041 263641","02041 263542 ",info@basista.de,1994
554,"GEL-A-MED Medizinische Bett- und Sitzauflagen Düsseldorf","Hansaallee 108",Düsseldorf,"40547 ","0211 55 63 33","0211 55 79 280",info@gel-a-med.com,1994
