27,"A. Sutter Dialog Services GmbH","Bottroper Straße 20",Essen,45141,"0201 3101-246","0201 3101-9950",info@services.sutter.de,1999
132,"Netfloh GmbH","Geschwister Schollstraße 2a",Bönen,59199,"02383 5888250","02383 5888270",info@netfloh.de,1999
253,"getit GmbH","Emil-Figge-Straße 76-80",Dortmund,44227,0231.9742.300,0231.9742.356,info@getit.de,1999
263,"Convista Consulting AG","Im Zollhafen 15",Köln,50678,"0221 888 26-0","0221 888 26-199",info@convista.com,1999
335,"Yello Strom GmbH","Am Grauen Stein 27",Köln,"51105 ","0800 - 99 998 90","0800 - 99 999 74",immerda@yellostrom.de,1999
416,"Surplex GmbH","Wahlerstraße 4",Düsseldorf,"40472 ","0211 422737-0","0211 422737-17"," info@surplex.com",1999
434,"Bredner Event Solutions","Düsseldorfer Straße 190",Düsseldorf,"40545  ","0211 469595-80","0211 469595-85",info@bredner-event.de,1999
476,"CREOS Lernideen und Beratung GmbH","Herforder Straße 22 ",Bielefeld,"33602 ","0521 30410 0","0521 30410 71"," info@creos.de",1999
480,"TOOMAXX Handelsgesellschaft mbH","Humboldtstr. 140 - 144",Köln,51149,"0221 149 0","0221 149 97 6428 ",info@toomaxx.com,1999
500,"KemCom GmbH","Hochstaufenring 57a ",Köln,"50674 ","0221 / 677 852 -0 ","0221 / 677 852 - 99",info@kemcom.de,1999
516,"Swyx Solutions AG ","Joseph-von-Fraunhofer-Str. 13a",Dortmund,"44227 ","0231 4777-0","0231 4777-444",office@swyx.com,1999
524,"DB Regio AG","Willi-Becker-Allee 11",Düsseldorf,"40227 ",,,,1999
