8,"BITMARCK HOLDING GmbH ","Brunnenstraße 15-17 ","Essen ","45128 ","0201 89069 000  ","0201 89069 199","info@bitmarck.de ","Jubiläum 2014"
342,"agri.capital GmbH","Hafenweg 15",Münster,"48155 ",0251-27601-100,0251-27601-900,info@agri-capital.de,"Jubiläum 2014"
416,"Surplex GmbH","Wahlerstraße 4",Düsseldorf,"40472 ","0211 422737-0","0211 422737-17"," info@surplex.com","Jubiläum 2014"
480,"TOOMAXX Handelsgesellschaft mbH","Humboldtstr. 140 - 144",Köln,51149,"0221 149 0","0221 149 97 6428 ",info@toomaxx.com,"Jubiläum 2014"
262,"Remira GmbH","Konrad-Zuse-Straße 3 ",Bochum,44801,"0234 9747170",,mate@remira.de,"Jubiläum 2014"
226,"RGM Holding GmbH","Hansastr. 95",Dortmund,44137,"0231 98 70 87-0","0231 98 70 87-282",,"Jubiläum 2014"
191,"Autobahn Tank und Rast GmbH","Andreas-Hermes-Str. 7-9",Bonn,53175,"0228 / 922-0","0228 / 922-4110","kundenkontakt@tank.rast.de ","Jubiläum 2014"
155,"purpleview GmbH","Lindemannstraße 78",Dortmund,44137,"0231 55 74 02 0","0231 55 74 02 99",info@purpleview.de,"Jubiläum 2014"
325,"TRIGON Business Intelligence GmbH & Co. KG","Kaiserswerther Straße 115",Ratingen,"40880 ","02102 - 42 06 30","02102 - 42 06 2",info@trigon-bi.de,"Jubiläum 2014"
551,"O-C-S-S GmbH","Ustroner Straße 10","Neukirchen - Vluyn ","47506 ","02845 94196-4","02845 94196-9","info@o-c-s-s.net ","Jubiläum 2014"
293,"H & V Energietechnik GmbH & CoKG","Wilhelm-Raiffeisen-Str. 2a",Nordkirchen,59349,"0 25 96 / 44 77","0 25 96 / 44 86",info@hv-energietechnik.de,"Jubiläum 2014"
305,"Deutsche Kinder- und Jugendstiftung gemeinnützige GmbH","Tempelhofer Ufer 11",Berlin,"10963 ","030 - 25 76 76 – 0","030 - 25 76 76 – 10",info@dkjs.de,"Jubiläum 2014"
360,"Schwer Steuerberatungsgesellschaft mbH","Auf der Heide 8 a",Bochum,44803,"+49 (234) 97701-0","+49 (234) 97701-77 ","kanzlei@stb-schwer.de ","Jubiläum 2014"
380,"objective partner AG","Bergstraße 45/1 ",Weinheim,"69469 ","06201 39860","06201 398612",info@objective-partner.de,"Jubiläum 2014"
435,"ista International GmbH","Grugaplatz 2",Essen,45131," 0201 459-02",," info@ista.com","Jubiläum 2014"
493,"AGES Maut System GmbH & Co. KG","Berghausener Straße 96",Langenfeld,40764,"02173 3346-0","02173 3346-111",info@ages.de,"Jubiläum 2014"
496,"LOGIBALL GmbH","Westring 303 ",Herne,44629,"02323 925 0","02323 925 551",info@logiball.de,"Jubiläum 2014"
552,"Spiggle & Theis Medizintechnik GmbH","Burghof 14",Overath,"51491 ","02206 9081-0 ",,info@spiggle-theis.de,"Jubiläum 2014"
553,"Basista Leiterplatten GmbH ","Kardinal-Hengsbach-Straße 2-4",Bottrop,"46236 ","02041 263641","02041 263542 ",info@basista.de,"Jubiläum 2014"
554,"GEL-A-MED Medizinische Bett- und Sitzauflagen Düsseldorf","Hansaallee 108",Düsseldorf,"40547 ","0211 55 63 33","0211 55 79 280",info@gel-a-med.com,"Jubiläum 2014"
336,"PROSOZ Herten GmbH","Ewaldstraße 261",Herten,"45699 ","02366 1 88 - 0","02366 1 88 - 111",info@prosoz.de,"Jubiläum 2014"
36,"Accenture GmbH","Kaistraße 20",Düsseldorf,40221,"0211 912030","0211 912031",Accenture.direct.ela@accenture.com,"Jubiläum 2014"
91,"BELFOR Europe GmbH","Keniastraße 24",Duisburg,47269,"0203 75640-0","0203 75640-306",info@belfor.com,"Jubiläum 2014"
198,"VTA Verfahrenstechnik und Automatisierung GmbH","Johannastr. 2-8",Gelsenkirchen,45899,"(0209) 9515-0","(0209) 9515-106","info@vta.de ","Jubiläum 2014"
347,"together concept werbeagentur gmbh","Schinkelstraße 30-32",Essen,"45138 ","0201 841 22-0 ","0201 841 22-41 ",info@together-concept.de,"Jubiläum 2014"
368,"PB Firmenkunden AG","Friedrich-Ebert-Allee 114-126",Bonn,53113,"0228 5500 3300","0228 5500 3399",firmenkunden@postbank.de,"Jubiläum 2014"
555,"ANSON'S Herrenhaus KG","Berliner Allee 2",Düsseldorf,"40212 ",0211-1798-0,0211-1798-697,"kontakt@ansons.de ","Jubiläum 2014"
556,"Firma Melisard","Raderberger Strasse 176",Köln,"50968 ","0221 - 93 77 160 ","0221 - 38 60 65","info@adhocstudios.de ","Jubiläum 2014"
557,"Schnitger GmbH","Dr.-Berns-Str. 4a-6",Moers,"47441 ",02841-88142-0,02841-88142-20,info@schnitgergmbh.de,"Jubiläum 2014"
559,"Busche Verlagsgesellschaft mbH","Schleefstraße 1",Dortmund,"44287 ","0231 44477-0","0231 44477-77",info@busche.de,"Jubiläum 2014"
562,"WAGNER GMBH","Robert-Bosch-Strasse 35",Wülfrath,"42489 ","02058 - 782800-0","02058 - 782800-49",info@wagnergmbh.de,"Jubiläum 2014"
282,"RENNER GmbH Kompressoren","Emil-Weber-Straße 32"," Güglingen",74363,"071 35 / 93 193 - 0","071 35 / 93 193 - 50"," info@renner-kompressoren.de","Jubiläum 2014"
93,"B. Braun Melsungen AG","Carl-Braun-Straße 1",Melsungen,"34212 ","05661 71- 0","05661 71- 45 67",info@bbraun.de,"Jubiläum 2014"
340,"AXA ART Versicherung Aktiengesellschaft","Colonia-Allee 10-20",Köln,"51067 ","0221 148 22187 ","0221 148 32559 ","info@axa-art.de ","Jubiläum 2014"
