8,"BITMARCK HOLDING GmbH ","Brunnenstraße 15-17 ","Essen ","45128 ","0201 89069 000  ","0201 89069 199","info@bitmarck.de ","IT & Internet"
18,expositio,"Lothringer Str. 38",Bochum,44805,"0234 4387314",,hello@expositio.de,"IT & Internet"
21,"MICROSENS GmbH & Co. KG","Küferstraße 16",Hamm,59067,02381-9452-0,02381-9452-100,info@microsens.de,"IT & Internet"
25,"neGxt ITK GmbH","Schmiedstraße 10e",Germering,82110,089-12287-290,089-12287-997,j.poth@negxt-itk.de,"IT & Internet"
35,"acardo group Aktiengesellschaft","Am Kai 12",Dortmund,44263,"0231 584497-0","0231 584497-21",info@acardo.com,"IT & Internet"
46,"adesso AG","Stockholmer Allee 24",Dortmund,44269,"0231 930-9330","0231 930-9331",info@adesso.de,"IT & Internet"
55,"GBTEC Software + Consulting AG","Universitätsstraße 142",Bochum,44799,0234-97645-100,0234-97645-101,info@gbtec.de,"IT & Internet"
58,"Materna GmbH","Voßkuhle 37",Dortmund,44141,0231-5599-00,0231-5599-100,marketing@materna.de,"IT & Internet"
63,"ALSO Deutschland GmbH","Lange Wende 43 ",Soest,59494,"02921 99 0","02921 99 3399",info@also.com,"IT & Internet"
74,"ATELCO Computer AG","Dieselweg 6",Möhnesee,59519,"02924 99-00 ","02924 99-4400 ",webmaster@atelco.de,"IT & Internet"
75,"Atos Information Technology GmbH","Luxemburger Str. 3",Essen,"45131 ","0201 4305 9095",,de-info@atos.net,"IT & Internet"
79,"Avantgarde Business Solutions GmbH","Habichtweg 21",Neuss,41468,02131-7949-0,02131-7949-79," office@avantgar.de","IT & Internet"
81,Axians," Emil-Figge-Straße 86",Dortmund,44227,"0231 72592 0",,,"IT & Internet"
87,"Bechtle GmbH & Co. KG IT-Systemhaus Duisburg","Düsseldorfer Landstr. 17",Duisburg,47249,"0203 - 998080","0203 99808-96",info@bechtle.com,"IT & Internet"
96,"BITMARCK Vertriebs- und Projekt GmbH","Brunnenstr. 15-17",Essen,45128,"0201 / 365690",,,"IT & Internet"
100,"Codecentric AG","Kölner Landstr. 1",Düsseldorf,40591,"0211 - 99414-0","0211 - 99414-44","info@codecentric.de ","IT & Internet"
102,"Concentrade GmbH","Martin-Schmeißer-Weg 18",Dortmund,44227,"0231 - 5336-0","0231 - 5336-200",info@concentrade.com,"IT & Internet"
